date,op_type,flight,airline,tail_id,origin,destination,sched_time_local,actual_time_local,delay_min,hour,dow,status,propagated_from_prev,cascade_caused
2025-08-13,DEPARTURE,6E755,6E,VT-A000,BOM,CCU,2025-08-13 16:53:00,2025-08-13 17:35:00,42,16,Wednesday,DELAYED,0.0,0.0
2025-08-13,ARRIVAL,SQ433,SQ,VT-A000,CCU,BOM,2025-08-13 20:12:00,2025-08-13 20:55:00,43,20,Wednesday,DELAYED,0.0,0.0
2025-08-13,DEPARTURE,SG310,SG,VT-A000,BOM,HYD,2025-08-13 21:59:00,2025-08-13 22:54:00,55,21,Wednesday,DELAYED,0.0,0.0
2025-08-14,ARRIVAL,G8219,G8,VT-A000,TRV,BOM,2025-08-14 09:19:00,2025-08-14 09:32:00,13,9,Thursday,DELAYED,0.0,0.0
2025-08-14,DEPARTURE,AI242,AI,VT-A000,BOM,PNQ,2025-08-14 10:18:00,2025-08-14 10:45:00,27,10,Thursday,DELAYED,0.0,0.0
2025-08-14,ARRIVAL,6E957,6E,VT-A000,PNQ,BOM,2025-08-14 12:42:00,2025-08-14 12:32:00,-10,12,Thursday,ON_TIME,0.0,0.0
2025-08-14,DEPARTURE,G8539,G8,VT-A000,BOM,DOH,2025-08-14 13:21:00,2025-08-14 13:34:00,13,13,Thursday,DELAYED,0.0,0.0
2025-08-14,ARRIVAL,EK499,EK,VT-A000,DOH,BOM,2025-08-14 22:47:00,2025-08-14 23:05:00,18,22,Thursday,DELAYED,0.0,0.0
2025-08-15,DEPARTURE,AI457,AI,VT-A000,BOM,PNQ,2025-08-15 00:13:00,2025-08-15 00:32:00,19,0,Friday,DELAYED,0.0,0.0
2025-08-15,ARRIVAL,G8241,G8,VT-A000,DOH,BOM,2025-08-15 10:51:00,2025-08-15 11:17:00,26,10,Friday,DELAYED,0.0,18.0
2025-08-15,DEPARTURE,I5136,I5,VT-A000,BOM,MAA,2025-08-15 11:44:00,2025-08-15 12:01:00,17,11,Friday,DELAYED,18.0,0.0
2025-08-15,ARRIVAL,SG387,SG,VT-A000,MAA,BOM,2025-08-15 14:21:00,2025-08-15 14:27:00,6,14,Friday,ON_TIME,0.0,8.0
2025-08-15,DEPARTURE,QR890,QR,VT-A000,BOM,GOI,2025-08-15 15:04:00,2025-08-15 15:36:00,32,15,Friday,DELAYED,8.0,0.0
2025-08-15,ARRIVAL,AI881,AI,VT-A000,GOI,BOM,2025-08-15 17:55:00,2025-08-15 17:54:00,-1,17,Friday,ON_TIME,0.0,3.0
2025-08-15,DEPARTURE,BA962,BA,VT-A000,BOM,PNQ,2025-08-15 18:36:00,2025-08-15 18:56:00,20,18,Friday,DELAYED,3.0,0.0
2025-08-16,DEPARTURE,EK212,EK,VT-A000,BOM,GOI,2025-08-16 06:00:00,2025-08-16 06:06:00,6,6,Saturday,ON_TIME,0.0,0.0
2025-08-16,ARRIVAL,G8202,G8,VT-A000,GOI,BOM,2025-08-16 09:30:00,2025-08-16 09:34:00,4,9,Saturday,ON_TIME,0.0,20.0
2025-08-16,DEPARTURE,BA856,BA,VT-A000,BOM,BLR,2025-08-16 09:59:00,2025-08-16 10:33:00,34,9,Saturday,DELAYED,20.0,0.0
2025-08-16,ARRIVAL,UK783,UK,VT-A000,BLR,BOM,2025-08-16 13:44:00,2025-08-16 13:37:00,-7,13,Saturday,ON_TIME,0.0,20.0
2025-08-16,DEPARTURE,AI136,AI,VT-A000,BOM,LHR,2025-08-16 14:02:00,2025-08-16 14:20:00,18,14,Saturday,DELAYED,20.0,0.0
2025-08-16,ARRIVAL,BA798,BA,VT-A000,LHR,BOM,2025-08-16 18:25:00,2025-08-16 19:12:00,47,18,Saturday,DELAYED,0.0,0.0
2025-08-10,DEPARTURE,6E415,6E,VT-A001,BOM,HYD,2025-08-10 05:38:00,2025-08-10 05:46:00,8,5,Sunday,ON_TIME,0.0,0.0
2025-08-10,ARRIVAL,SG608,SG,VT-A001,HYD,BOM,2025-08-10 07:48:00,2025-08-10 08:23:00,35,7,Sunday,DELAYED,0.0,0.0
2025-08-10,DEPARTURE,QR134,QR,VT-A001,BOM,LHR,2025-08-10 09:09:00,2025-08-10 09:07:00,-2,9,Sunday,ON_TIME,0.0,0.0
2025-08-10,ARRIVAL,AI489,AI,VT-A001,LHR,BOM,2025-08-10 17:34:00,2025-08-10 17:56:00,22,17,Sunday,DELAYED,0.0,9.0
2025-08-10,DEPARTURE,QR871,QR,VT-A001,BOM,HYD,2025-08-10 18:32:00,2025-08-10 18:28:00,-4,18,Sunday,ON_TIME,9.0,0.0
2025-08-10,ARRIVAL,BA369,BA,VT-A001,HYD,BOM,2025-08-10 21:20:00,2025-08-10 21:10:00,-10,21,Sunday,ON_TIME,0.0,0.0
2025-08-10,DEPARTURE,QR370,QR,VT-A001,BOM,DXB,2025-08-10 22:03:00,2025-08-10 21:58:00,-5,22,Sunday,ON_TIME,0.0,0.0
2025-08-11,ARRIVAL,SG819,SG,VT-A001,DXB,BOM,2025-08-11 07:53:00,2025-08-11 08:24:00,31,7,Monday,DELAYED,0.0,0.0
2025-08-11,DEPARTURE,SG580,SG,VT-A001,BOM,DXB,2025-08-11 09:44:00,2025-08-11 10:01:00,17,9,Monday,DELAYED,0.0,0.0
2025-08-11,ARRIVAL,SQ157,SQ,VT-A001,DXB,BOM,2025-08-11 15:35:00,2025-08-11 15:37:00,2,15,Monday,ON_TIME,0.0,0.0
2025-08-11,DEPARTURE,AI328,AI,VT-A001,BOM,DEL,2025-08-11 16:50:00,2025-08-11 16:50:00,0,16,Monday,ON_TIME,0.0,0.0
2025-08-11,ARRIVAL,SG986,SG,VT-A001,DEL,BOM,2025-08-11 19:38:00,2025-08-11 19:43:00,5,19,Monday,ON_TIME,0.0,5.0
2025-08-11,DEPARTURE,G8707,G8,VT-A001,BOM,HYD,2025-08-11 20:23:00,2025-08-11 21:20:00,57,20,Monday,DELAYED,5.0,0.0
2025-08-12,ARRIVAL,UK270,UK,VT-A001,HYD,BOM,2025-08-12 00:28:00,2025-08-12 00:34:00,6,0,Tuesday,ON_TIME,0.0,0.0
2025-08-12,DEPARTURE,G8727,G8,VT-A001,BOM,CCU,2025-08-12 01:21:00,2025-08-12 01:27:00,6,1,Tuesday,ON_TIME,0.0,0.0
2025-08-12,ARRIVAL,QR463,QR,VT-A001,SIN,BOM,2025-08-12 09:15:00,2025-08-12 09:27:00,12,9,Tuesday,DELAYED,0.0,0.0
2025-08-12,DEPARTURE,SQ436,SQ,VT-A001,BOM,GOI,2025-08-12 10:26:00,2025-08-12 10:50:00,24,10,Tuesday,DELAYED,0.0,0.0
2025-08-12,ARRIVAL,SQ769,SQ,VT-A001,GOI,BOM,2025-08-12 14:15:00,2025-08-12 14:13:00,-2,14,Tuesday,ON_TIME,0.0,0.0
2025-08-12,DEPARTURE,SG665,SG,VT-A001,BOM,DOH,2025-08-12 15:05:00,2025-08-12 15:03:00,-2,15,Tuesday,ON_TIME,0.0,0.0
2025-08-12,ARRIVAL,I5672,I5,VT-A001,DOH,BOM,2025-08-12 21:10:00,2025-08-12 21:33:00,23,21,Tuesday,DELAYED,0.0,0.0
2025-08-12,DEPARTURE,QP561,QP,VT-A001,BOM,DOH,2025-08-12 22:25:00,2025-08-12 22:19:00,-6,22,Tuesday,ON_TIME,0.0,0.0
2025-08-13,DEPARTURE,QP403,QP,VT-A001,BOM,HYD,2025-08-13 10:54:00,2025-08-13 11:31:00,37,10,Wednesday,DELAYED,0.0,0.0
2025-08-13,ARRIVAL,EK146,EK,VT-A001,HYD,BOM,2025-08-13 14:08:00,2025-08-13 14:04:00,-4,14,Wednesday,ON_TIME,0.0,0.0
2025-08-13,DEPARTURE,SG789,SG,VT-A001,BOM,GOI,2025-08-13 14:59:00,2025-08-13 15:13:00,14,14,Wednesday,DELAYED,0.0,0.0
2025-08-13,ARRIVAL,I5385,I5,VT-A001,GOI,BOM,2025-08-13 18:06:00,2025-08-13 19:13:00,67,18,Wednesday,DELAYED,0.0,6.0
2025-08-13,DEPARTURE,6E529,6E,VT-A001,BOM,CCJ,2025-08-13 19:52:00,2025-08-13 20:16:00,24,19,Wednesday,DELAYED,6.0,0.0
2025-08-14,DEPARTURE,QR100,QR,VT-A001,BOM,HYD,2025-08-14 08:59:00,2025-08-14 08:49:00,-10,8,Thursday,ON_TIME,0.0,0.0
2025-08-14,ARRIVAL,SG516,SG,VT-A001,HYD,BOM,2025-08-14 12:07:00,2025-08-14 12:30:00,23,12,Thursday,DELAYED,0.0,5.0
2025-08-14,DEPARTURE,QR257,QR,VT-A001,BOM,SIN,2025-08-14 13:10:00,2025-08-14 13:29:00,19,13,Thursday,DELAYED,5.0,0.0
2025-08-14,ARRIVAL,G8896,G8,VT-A001,SIN,BOM,2025-08-14 20:39:00,2025-08-14 20:56:00,17,20,Thursday,DELAYED,0.0,3.0
2025-08-14,DEPARTURE,QR408,QR,VT-A001,BOM,DOH,2025-08-14 21:38:00,2025-08-14 22:03:00,25,21,Thursday,DELAYED,3.0,0.0
2025-08-15,ARRIVAL,SQ315,SQ,VT-A001,DOH,BOM,2025-08-15 04:15:00,2025-08-15 04:21:00,6,4,Friday,ON_TIME,0.0,0.0
2025-08-15,DEPARTURE,UK619,UK,VT-A001,BOM,GOI,2025-08-15 05:22:00,2025-08-15 05:12:00,-10,5,Friday,ON_TIME,0.0,0.0
2025-08-15,ARRIVAL,I5177,I5,VT-A001,MAA,BOM,2025-08-15 09:35:00,2025-08-15 10:20:00,45,9,Friday,DELAYED,0.0,1.0
2025-08-15,DEPARTURE,EK988,EK,VT-A001,BOM,SIN,2025-08-15 11:04:00,2025-08-15 11:23:00,19,11,Friday,DELAYED,1.0,0.0
2025-08-15,ARRIVAL,UK142,UK,VT-A001,SIN,BOM,2025-08-15 16:26:00,2025-08-15 16:16:00,-10,16,Friday,ON_TIME,0.0,3.0
2025-08-15,DEPARTURE,QR311,QR,VT-A001,BOM,CCU,2025-08-15 16:58:00,2025-08-15 17:41:00,43,16,Friday,DELAYED,3.0,0.0
2025-08-15,ARRIVAL,6E705,6E,VT-A001,CCU,BOM,2025-08-15 21:05:00,2025-08-15 21:03:00,-2,21,Friday,ON_TIME,0.0,8.0
2025-08-15,DEPARTURE,AI217,AI,VT-A001,BOM,DXB,2025-08-15 21:40:00,2025-08-15 21:55:00,15,21,Friday,DELAYED,8.0,0.0
2025-08-16,ARRIVAL,G8772,G8,VT-A001,GOI,BOM,2025-08-16 05:14:00,2025-08-16 05:12:00,-2,5,Saturday,ON_TIME,0.0,11.0
2025-08-16,DEPARTURE,QR709,QR,VT-A001,BOM,AMD,2025-08-16 05:46:00,2025-08-16 05:38:00,-8,5,Saturday,ON_TIME,11.0,0.0
2025-08-16,ARRIVAL,6E294,6E,VT-A001,AMD,BOM,2025-08-16 08:01:00,2025-08-16 07:51:00,-10,8,Saturday,ON_TIME,0.0,10.0
2025-08-16,DEPARTURE,BA176,BA,VT-A001,BOM,SIN,2025-08-16 08:26:00,2025-08-16 08:51:00,25,8,Saturday,DELAYED,10.0,0.0
2025-08-16,ARRIVAL,6E525,6E,VT-A001,SIN,BOM,2025-08-16 13:10:00,2025-08-16 13:15:00,5,13,Saturday,ON_TIME,0.0,0.0
2025-08-16,DEPARTURE,SG497,SG,VT-A001,BOM,LHR,2025-08-16 14:06:00,2025-08-16 14:03:00,-3,14,Saturday,ON_TIME,0.0,0.0
2025-08-10,DEPARTURE,G8140,G8,VT-A002,BOM,CCJ,2025-08-10 06:46:00,2025-08-10 06:56:00,10,6,Sunday,ON_TIME,0.0,0.0
2025-08-10,ARRIVAL,AI571,AI,VT-A002,CCJ,BOM,2025-08-10 08:56:00,2025-08-10 08:46:00,-10,8,Sunday,ON_TIME,0.0,13.0
2025-08-10,DEPARTURE,UK692,UK,VT-A002,BOM,GOI,2025-08-10 09:18:00,2025-08-10 09:11:00,-7,9,Sunday,ON_TIME,13.0,0.0
2025-08-10,ARRIVAL,QP330,QP,VT-A002,GOI,BOM,2025-08-10 11:04:00,2025-08-10 11:21:00,17,11,Sunday,DELAYED,0.0,1.0
2025-08-10,DEPARTURE,I5300,I5,VT-A002,BOM,CCU,2025-08-10 12:05:00,2025-08-10 12:34:00,29,12,Sunday,DELAYED,1.0,0.0
2025-08-10,ARRIVAL,UK673,UK,VT-A002,CCU,BOM,2025-08-10 14:55:00,2025-08-10 14:57:00,2,14,Sunday,ON_TIME,0.0,0.0
2025-08-10,DEPARTURE,SG783,SG,VT-A002,BOM,CCJ,2025-08-10 15:54:00,2025-08-10 16:01:00,7,15,Sunday,ON_TIME,0.0,0.0
2025-08-10,ARRIVAL,I5561,I5,VT-A002,CCJ,BOM,2025-08-10 18:14:00,2025-08-10 18:32:00,18,18,Sunday,DELAYED,0.0,0.0
2025-08-11,DEPARTURE,AI483,AI,VT-A002,BOM,DOH,2025-08-11 08:09:00,2025-08-11 08:20:00,11,8,Monday,DELAYED,0.0,0.0
2025-08-11,ARRIVAL,QP143,QP,VT-A002,DOH,BOM,2025-08-11 13:09:00,2025-08-11 13:36:00,27,13,Monday,DELAYED,0.0,10.0
2025-08-11,DEPARTURE,UK819,UK,VT-A002,BOM,MAA,2025-08-11 14:11:00,2025-08-11 14:17:00,6,14,Monday,ON_TIME,10.0,0.0
2025-08-11,ARRIVAL,QP766,QP,VT-A002,MAA,BOM,2025-08-11 16:57:00,2025-08-11 17:10:00,13,16,Monday,DELAYED,0.0,0.0
2025-08-12,ARRIVAL,QR787,QR,VT-A002,LHR,BOM,2025-08-12 05:06:00,2025-08-12 05:22:00,16,5,Tuesday,DELAYED,0.0,0.0
2025-08-12,DEPARTURE,UK886,UK,VT-A002,BOM,PNQ,2025-08-12 06:40:00,2025-08-12 07:14:00,34,6,Tuesday,DELAYED,0.0,0.0
2025-08-12,ARRIVAL,AI718,AI,VT-A002,PNQ,BOM,2025-08-12 09:50:00,2025-08-12 10:18:00,28,9,Tuesday,DELAYED,0.0,15.0
2025-08-12,DEPARTURE,EK122,EK,VT-A002,BOM,BLR,2025-08-12 10:48:00,2025-08-12 11:26:00,38,10,Tuesday,DELAYED,15.0,0.0
2025-08-12,ARRIVAL,G8158,G8,VT-A002,BLR,BOM,2025-08-12 14:15:00,2025-08-12 14:05:00,-10,14,Tuesday,ON_TIME,0.0,0.0
2025-08-12,DEPARTURE,QP656,QP,VT-A002,BOM,BLR,2025-08-12 14:50:00,2025-08-12 14:40:00,-10,14,Tuesday,ON_TIME,0.0,0.0
2025-08-13,DEPARTURE,BA437,BA,VT-A002,BOM,TRV,2025-08-13 10:26:00,2025-08-13 10:26:00,0,10,Wednesday,ON_TIME,0.0,0.0
2025-08-13,ARRIVAL,BA536,BA,VT-A002,TRV,BOM,2025-08-13 13:30:00,2025-08-13 13:35:00,5,13,Wednesday,ON_TIME,0.0,0.0
2025-08-13,DEPARTURE,SQ275,SQ,VT-A002,BOM,BLR,2025-08-13 14:47:00,2025-08-13 14:49:00,2,14,Wednesday,ON_TIME,0.0,0.0
2025-08-13,ARRIVAL,EK481,EK,VT-A002,BLR,BOM,2025-08-13 17:58:00,2025-08-13 18:18:00,20,17,Wednesday,DELAYED,0.0,0.0
2025-08-13,DEPARTURE,EK442,EK,VT-A002,BOM,AMD,2025-08-13 19:25:00,2025-08-13 19:41:00,16,19,Wednesday,DELAYED,0.0,0.0
2025-08-13,ARRIVAL,SQ811,SQ,VT-A002,AMD,BOM,2025-08-13 21:58:00,2025-08-13 22:04:00,6,21,Wednesday,ON_TIME,0.0,0.0
2025-08-13,DEPARTURE,QR713,QR,VT-A002,BOM,MAA,2025-08-13 23:21:00,2025-08-13 23:56:00,35,23,Wednesday,DELAYED,0.0,0.0
2025-08-14,ARRIVAL,EK722,EK,VT-A002,MAA,BOM,2025-08-14 02:58:00,2025-08-14 02:57:00,-1,2,Thursday,ON_TIME,0.0,0.0
2025-08-14,ARRIVAL,QP768,QP,VT-A002,DEL,BOM,2025-08-14 09:45:00,2025-08-14 09:50:00,5,9,Thursday,ON_TIME,0.0,0.0
2025-08-14,DEPARTURE,SQ241,SQ,VT-A002,BOM,AMD,2025-08-14 10:35:00,2025-08-14 10:38:00,3,10,Thursday,ON_TIME,0.0,0.0
2025-08-14,ARRIVAL,QR245,QR,VT-A002,AMD,BOM,2025-08-14 13:17:00,2025-08-14 13:18:00,1,13,Thursday,ON_TIME,0.0,0.0
2025-08-14,DEPARTURE,AI694,AI,VT-A002,BOM,CCU,2025-08-14 14:37:00,2025-08-14 14:43:00,6,14,Thursday,ON_TIME,0.0,0.0
2025-08-14,ARRIVAL,UK211,UK,VT-A002,CCU,BOM,2025-08-14 16:58:00,2025-08-14 16:57:00,-1,16,Thursday,ON_TIME,0.0,10.0
2025-08-14,DEPARTURE,AI675,AI,VT-A002,BOM,CCU,2025-08-14 17:32:00,2025-08-14 17:32:00,0,17,Thursday,ON_TIME,10.0,0.0
2025-08-14,ARRIVAL,SG816,SG,VT-A002,CCU,BOM,2025-08-14 19:31:00,2025-08-14 20:37:00,66,19,Thursday,DELAYED,0.0,0.0
2025-08-15,ARRIVAL,UK900,UK,VT-A002,CCJ,BOM,2025-08-15 07:19:00,2025-08-15 07:49:00,30,7,Friday,DELAYED,0.0,11.0
2025-08-15,DEPARTURE,EK562,EK,VT-A002,BOM,PNQ,2025-08-15 08:23:00,2025-08-15 09:04:00,41,8,Friday,DELAYED,11.0,0.0
2025-08-15,ARRIVAL,UK472,UK,VT-A002,PNQ,BOM,2025-08-15 12:13:00,2025-08-15 12:19:00,6,12,Friday,ON_TIME,0.0,18.0
2025-08-15,DEPARTURE,AI537,AI,VT-A002,BOM,GOI,2025-08-15 12:46:00,2025-08-15 12:36:00,-10,12,Friday,ON_TIME,18.0,0.0
2025-08-15,ARRIVAL,QR321,QR,VT-A002,GOI,BOM,2025-08-15 15:04:00,2025-08-15 15:00:00,-4,15,Friday,ON_TIME,0.0,0.0
2025-08-15,DEPARTURE,QR916,QR,VT-A002,BOM,PNQ,2025-08-15 16:12:00,2025-08-15 16:05:00,-7,16,Friday,ON_TIME,0.0,0.0
2025-08-15,ARRIVAL,BA697,BA,VT-A002,PNQ,BOM,2025-08-15 19:01:00,2025-08-15 19:12:00,11,19,Friday,DELAYED,0.0,0.0
2025-08-16,ARRIVAL,AI993,AI,VT-A002,CCJ,BOM,2025-08-16 05:08:00,2025-08-16 04:58:00,-10,5,Saturday,ON_TIME,0.0,0.0
2025-08-16,DEPARTURE,SQ762,SQ,VT-A002,BOM,SIN,2025-08-16 05:49:00,2025-08-16 05:50:00,1,5,Saturday,ON_TIME,0.0,0.0
2025-08-16,ARRIVAL,SG716,SG,VT-A002,SIN,BOM,2025-08-16 15:32:00,2025-08-16 16:11:00,39,15,Saturday,DELAYED,0.0,20.0
2025-08-16,DEPARTURE,EK703,EK,VT-A002,BOM,SIN,2025-08-16 16:36:00,2025-08-16 16:45:00,9,16,Saturday,ON_TIME,20.0,0.0
2025-08-16,ARRIVAL,AI737,AI,VT-A002,SIN,BOM,2025-08-16 21:29:00,2025-08-16 22:05:00,36,21,Saturday,DELAYED,0.0,0.0
2025-08-10,DEPARTURE,QP894,QP,VT-A003,BOM,BLR,2025-08-10 05:04:00,2025-08-10 05:19:00,15,5,Sunday,DELAYED,0.0,0.0
2025-08-10,ARRIVAL,I5790,I5,VT-A003,BLR,BOM,2025-08-10 07:13:00,2025-08-10 07:25:00,12,7,Sunday,DELAYED,0.0,8.0
2025-08-10,DEPARTURE,I5340,I5,VT-A003,BOM,LHR,2025-08-10 08:02:00,2025-08-10 08:20:00,18,8,Sunday,DELAYED,8.0,0.0
2025-08-10,ARRIVAL,G8848,G8,VT-A003,LHR,BOM,2025-08-10 17:42:00,2025-08-10 17:41:00,-1,17,Sunday,ON_TIME,0.0,4.0
2025-08-10,DEPARTURE,AI624,AI,VT-A003,BOM,GOI,2025-08-10 18:22:00,2025-08-10 18:50:00,28,18,Sunday,DELAYED,4.0,0.0
2025-08-10,ARRIVAL,EK677,EK,VT-A003,GOI,BOM,2025-08-10 21:00:00,2025-08-10 21:52:00,52,21,Sunday,DELAYED,0.0,0.0
2025-08-11,ARRIVAL,QR982,QR,VT-A003,HYD,BOM,2025-08-11 05:42:00,2025-08-11 05:39:00,-3,5,Monday,ON_TIME,0.0,0.0
2025-08-11,DEPARTURE,QR515,QR,VT-A003,BOM,TRV,2025-08-11 06:58:00,2025-08-11 07:36:00,38,6,Monday,DELAYED,0.0,0.0
2025-08-11,ARRIVAL,BA523,BA,VT-A003,TRV,BOM,2025-08-11 09:36:00,2025-08-11 10:13:00,37,9,Monday,DELAYED,0.0,0.0
2025-08-11,DEPARTURE,I5592,I5,VT-A003,BOM,BLR,2025-08-11 11:23:00,2025-08-11 11:23:00,0,11,Monday,ON_TIME,0.0,0.0
2025-08-11,ARRIVAL,QP332,QP,VT-A003,BLR,BOM,2025-08-11 13:47:00,2025-08-11 13:54:00,7,13,Monday,ON_TIME,0.0,3.0
2025-08-11,DEPARTURE,AI549,AI,VT-A003,BOM,DXB,2025-08-11 14:36:00,2025-08-11 14:26:00,-10,14,Monday,ON_TIME,3.0,0.0
2025-08-11,ARRIVAL,AI970,AI,VT-A003,DXB,BOM,2025-08-11 21:55:00,2025-08-11 22:01:00,6,21,Monday,ON_TIME,0.0,0.0
2025-08-12,DEPARTURE,UK437,UK,VT-A003,BOM,PNQ,2025-08-12 05:20:00,2025-08-12 05:43:00,23,5,Tuesday,DELAYED,0.0,0.0
2025-08-12,ARRIVAL,G8931,G8,VT-A003,PNQ,BOM,2025-08-12 07:47:00,2025-08-12 07:48:00,1,7,Tuesday,ON_TIME,0.0,11.0
2025-08-12,DEPARTURE,I5605,I5,VT-A003,BOM,DOH,2025-08-12 08:22:00,2025-08-12 08:29:00,7,8,Tuesday,ON_TIME,11.0,0.0
2025-08-12,ARRIVAL,SG719,SG,VT-A003,DOH,BOM,2025-08-12 17:31:00,2025-08-12 17:21:00,-10,17,Tuesday,ON_TIME,0.0,0.0
2025-08-12,DEPARTURE,QR283,QR,VT-A003,BOM,DOH,2025-08-12 18:12:00,2025-08-12 18:21:00,9,18,Tuesday,ON_TIME,0.0,0.0
2025-08-12,ARRIVAL,I5612,I5,VT-A003,DOH,BOM,2025-08-12 23:38:00,2025-08-12 23:39:00,1,23,Tuesday,ON_TIME,0.0,9.0
2025-08-13,DEPARTURE,EK904,EK,VT-A003,BOM,BLR,2025-08-13 00:15:00,2025-08-13 00:15:00,0,0,Wednesday,ON_TIME,9.0,0.0
2025-08-13,DEPARTURE,AI850,AI,VT-A003,BOM,SIN,2025-08-13 07:48:00,2025-08-13 08:12:00,24,7,Wednesday,DELAYED,0.0,0.0
2025-08-13,ARRIVAL,QP739,QP,VT-A003,SIN,BOM,2025-08-13 15:45:00,2025-08-13 16:13:00,28,15,Wednesday,DELAYED,0.0,3.0
2025-08-13,DEPARTURE,SQ611,SQ,VT-A003,BOM,DOH,2025-08-13 16:55:00,2025-08-13 17:11:00,16,16,Wednesday,DELAYED,3.0,0.0
2025-08-14,ARRIVAL,QR816,QR,VT-A003,DOH,BOM,2025-08-14 01:49:00,2025-08-14 01:50:00,1,1,Thursday,ON_TIME,0.0,0.0
2025-08-14,DEPARTURE,UK553,UK,VT-A003,BOM,GOI,2025-08-14 03:07:00,2025-08-14 02:57:00,-10,3,Thursday,ON_TIME,0.0,0.0
2025-08-14,ARRIVAL,G8635,G8,VT-A003,LHR,BOM,2025-08-14 08:29:00,2025-08-14 08:53:00,24,8,Thursday,DELAYED,0.0,15.0
2025-08-14,DEPARTURE,AI533,AI,VT-A003,BOM,DOH,2025-08-14 09:23:00,2025-08-14 09:50:00,27,9,Thursday,DELAYED,15.0,0.0
2025-08-14,ARRIVAL,BA987,BA,VT-A003,DOH,BOM,2025-08-14 19:18:00,2025-08-14 20:00:00,42,19,Thursday,DELAYED,0.0,0.0
